scene_id,satellite,acquisition_date,latitude,longitude,cloud_cover_pct,sun_elevation_deg,sun_azimuth_deg,data_quality_score,processing_level,pixel_count,valid_pixel_pct
LC08_L2SP_157055_20230202,Landsat-8,2023-02-02,9.8585,-0.8692,29.74,66.36,165.65,0.744,L1C,8146672,67.84
LC08_L2SP_158055_20230202,Landsat-8,2023-02-02,7.951,-2.735,6.8,63.28,114.83,0.762,L2A,10546009,91.41
LC08_L2SP_159055_20230202,Landsat-8,2023-02-02,7.0203,-1.0237,9.64,54.23,124.64,0.879,L1C,9798389,91.53
LC08_L2SP_160055_20230202,Landsat-8,2023-02-02,8.6634,0.1918,37.2,45.31,126.15,0.926,L2A,10518200,60.62
S2A_MSIL2A_0000_20230202,Sentinel-2A,2023-02-02,7.4703,-2.7595,27.11,49.37,182.73,0.874,L2A,9260119,71.51
S2A_MSIL2A_0001_20230202,Sentinel-2A,2023-02-02,7.0991,0.6152,18.92,74.57,137.32,0.904,L2A,11341874,80.04
S2A_MSIL2A_0002_20230202,Sentinel-2A,2023-02-02,6.8,-1.2147,21.28,54.31,175.41,0.863,L2A,9164441,77.22
S2A_MSIL2A_0003_20230202,Sentinel-2A,2023-02-02,9.6713,-2.9236,39.16,60.55,173.36,0.718,L1C,10246962,61.61
S2A_MSIL2A_0004_20230202,Sentinel-2A,2023-02-02,8.3487,0.7773,20.65,55.11,198.52,0.735,L2A,9511063,81.12
S2A_MSIL2A_0005_20230202,Sentinel-2A,2023-02-02,6.8677,-0.8292,12.49,63.15,156.3,0.887,L1C,10575951,85.42
LC08_L2SP_155055_20230218,Landsat-8,2023-02-18,6.2517,0.0965,12.68,52.35,196.84,0.822,L1C,10396669,86.98
LC08_L2SP_156055_20230218,Landsat-8,2023-02-18,7.7001,-0.1293,10.07,72.85,183.66,0.824,L1C,10120821,88.69
LC08_L2SP_157055_20230218,Landsat-8,2023-02-18,9.8585,-0.8692,34.0,60.71,109.26,0.732,L2A,11370678,64.37
LC08_L2SP_158055_20230218,Landsat-8,2023-02-18,7.951,-2.735,22.31,73.91,139.12,0.973,L1C,9878850,77.9
LC08_L2SP_159055_20230218,Landsat-8,2023-02-18,7.0203,-1.0237,16.48,61.17,189.17,0.947,L2A,9738244,82.48
LC08_L2SP_160055_20230218,Landsat-8,2023-02-18,8.6634,0.1918,22.5,48.28,169.6,0.967,L1C,9194317,78.61
S2A_MSIL2A_0000_20230218,Sentinel-2A,2023-02-18,7.4703,-2.7595,33.19,69.99,123.78,0.899,L2A,8220512,59.76
S2A_MSIL2A_0001_20230218,Sentinel-2A,2023-02-18,7.0991,0.6152,37.54,57.66,137.13,0.859,L1C,9264188,60.63
S2A_MSIL2A_0002_20230218,Sentinel-2A,2023-02-18,6.8,-1.2147,18.72,46.17,179.3,0.716,L2A,10245272,83.23
S2A_MSIL2A_0003_20230218,Sentinel-2A,2023-02-18,9.6713,-2.9236,32.54,59.32,144.87,0.867,L1C,10629705,68.75
S2A_MSIL2A_0004_20230218,Sentinel-2A,2023-02-18,8.3487,0.7773,11.98,70.16,191.39,0.747,L1C,11490184,88.64
S2A_MSIL2A_0005_20230218,Sentinel-2A,2023-02-18,6.8677,-0.8292,0.0,71.97,129.51,0.883,L1C,8432735,101.97
LC08_L2SP_155055_20230306,Landsat-8,2023-03-06,6.2517,0.0965,11.96,69.23,149.71,0.748,L1C,8010497,89.32
LC08_L2SP_156055_20230306,Landsat-8,2023-03-06,7.7001,-0.1293,16.03,59.8,128.07,0.963,L1C,10157624,86.23
LC08_L2SP_157055_20230306,Landsat-8,2023-03-06,9.8585,-0.8692,0.0,58.81,127.45,0.701,L2A,10560285,97.65
LC08_L2SP_158055_20230306,Landsat-8,2023-03-06,7.951,-2.735,0.0,74.97,106.34,0.875,L2A,10849380,99.67
LC08_L2SP_159055_20230306,Landsat-8,2023-03-06,7.0203,-1.0237,12.96,74.7,162.59,0.85,L2A,10919236,89.1
LC08_L2SP_160055_20230306,Landsat-8,2023-03-06,8.6634,0.1918,10.07,61.2,133.42,0.93,L1C,9748786,92.18
S2A_MSIL2A_0000_20230306,Sentinel-2A,2023-03-06,7.4703,-2.7595,0.0,56.29,198.12,0.734,L1C,9604034,99.54
S2A_MSIL2A_0001_20230306,Sentinel-2A,2023-03-06,7.0991,0.6152,11.59,61.71,195.62,0.898,L1C,11967234,88.42
S2A_MSIL2A_0002_20230306,Sentinel-2A,2023-03-06,6.8,-1.2147,7.63,59.63,155.76,0.897,L2A,9328710,91.14
S2A_MSIL2A_0003_20230306,Sentinel-2A,2023-03-06,9.6713,-2.9236,31.66,74.62,193.15,0.768,L2A,8194770,67.65
S2A_MSIL2A_0004_20230306,Sentinel-2A,2023-03-06,8.3487,0.7773,15.37,54.62,145.86,0.987,L2A,11009860,85.43
S2A_MSIL2A_0005_20230306,Sentinel-2A,2023-03-06,6.8677,-0.8292,10.92,68.17,123.5,0.797,L1C,9487780,86.57
LC08_L2SP_155055_20230322,Landsat-8,2023-03-22,6.2517,0.0965,21.87,51.71,157.49,0.981,L1C,8977205,75.25
LC08_L2SP_156055_20230322,Landsat-8,2023-03-22,7.7001,-0.1293,25.81,60.91,133.74,0.982,L1C,9378636,74.16
LC08_L2SP_157055_20230322,Landsat-8,2023-03-22,9.8585,-0.8692,22.82,65.92,141.1,0.91,L1C,8667941,76.53
LC08_L2SP_158055_20230322,Landsat-8,2023-03-22,7.951,-2.735,8.4,70.66,186.75,0.756,L1C,8497487,90.78
LC08_L2SP_159055_20230322,Landsat-8,2023-03-22,7.0203,-1.0237,0.0,47.67,139.53,0.722,L1C,9530937,100.15
LC08_L2SP_160055_20230322,Landsat-8,2023-03-22,8.6634,0.1918,26.69,66.03,194.06,0.919,L2A,8390058,69.76
S2A_MSIL2A_0000_20230322,Sentinel-2A,2023-03-22,7.4703,-2.7595,16.24,52.61,196.09,0.871,L2A,8239570,84.15
S2A_MSIL2A_0001_20230322,Sentinel-2A,2023-03-22,7.0991,0.6152,22.45,63.98,118.36,0.936,L1C,8452842,78.21
S2A_MSIL2A_0002_20230322,Sentinel-2A,2023-03-22,6.8,-1.2147,17.8,63.9,133.75,0.989,L1C,8271961,79.82
S2A_MSIL2A_0003_20230322,Sentinel-2A,2023-03-22,9.6713,-2.9236,19.22,52.46,193.08,0.88,L2A,9953824,79.23
S2A_MSIL2A_0004_20230322,Sentinel-2A,2023-03-22,8.3487,0.7773,11.19,54.51,135.68,0.987,L2A,10555418,88.76
S2A_MSIL2A_0005_20230322,Sentinel-2A,2023-03-22,6.8677,-0.8292,0.0,45.0,112.84,0.716,L2A,11924717,98.65
LC08_L2SP_155055_20230407,Landsat-8,2023-04-07,6.2517,0.0965,55.77,63.55,166.89,0.978,L1C,10341492,45.21
LC08_L2SP_156055_20230407,Landsat-8,2023-04-07,7.7001,-0.1293,55.75,56.41,153.68,0.947,L1C,9473631,44.26
LC08_L2SP_157055_20230407,Landsat-8,2023-04-07,9.8585,-0.8692,38.15,70.88,170.25,0.896,L1C,9801291,63.74
LC08_L2SP_158055_20230407,Landsat-8,2023-04-07,7.951,-2.735,63.78,56.9,192.78,0.779,L1C,8061729,37.37
LC08_L2SP_159055_20230407,Landsat-8,2023-04-07,7.0203,-1.0237,38.4,72.33,143.64,0.737,L2A,8264871,58.54
LC08_L2SP_160055_20230407,Landsat-8,2023-04-07,8.6634,0.1918,36.09,66.56,166.5,0.939,L1C,8413475,63.3
S2A_MSIL2A_0000_20230407,Sentinel-2A,2023-04-07,7.4703,-2.7595,33.06,49.85,149.74,0.763,L2A,11883661,70.18
S2A_MSIL2A_0001_20230407,Sentinel-2A,2023-04-07,7.0991,0.6152,85.16,55.05,145.83,0.982,L2A,10820851,13.12
S2A_MSIL2A_0002_20230407,Sentinel-2A,2023-04-07,6.8,-1.2147,66.4,48.95,178.99,0.958,L1C,10862499,34.3
S2A_MSIL2A_0003_20230407,Sentinel-2A,2023-04-07,9.6713,-2.9236,72.71,54.74,103.27,0.938,L1C,8777017,26.1
S2A_MSIL2A_0004_20230407,Sentinel-2A,2023-04-07,8.3487,0.7773,77.55,73.77,115.21,0.715,L1C,10671441,20.63
S2A_MSIL2A_0005_20230407,Sentinel-2A,2023-04-07,6.8677,-0.8292,73.45,52.91,157.86,0.729,L1C,8656132,26.17
LC08_L2SP_155055_20230423,Landsat-8,2023-04-23,6.2517,0.0965,55.09,55.66,129.22,0.932,L2A,9934030,44.22
LC08_L2SP_156055_20230423,Landsat-8,2023-04-23,7.7001,-0.1293,50.1,62.74,152.47,0.934,L1C,10527516,44.66
LC08_L2SP_157055_20230423,Landsat-8,2023-04-23,9.8585,-0.8692,59.11,52.65,183.19,0.709,L2A,11320102,39.85
LC08_L2SP_158055_20230423,Landsat-8,2023-04-23,7.951,-2.735,48.43,67.57,126.97,0.715,L2A,9652664,52.7
LC08_L2SP_159055_20230423,Landsat-8,2023-04-23,7.0203,-1.0237,46.38,56.69,105.46,0.913,L2A,11936203,52.34
LC08_L2SP_160055_20230423,Landsat-8,2023-04-23,8.6634,0.1918,35.84,45.01,174.0,0.916,L2A,10476941,62.5
S2A_MSIL2A_0000_20230423,Sentinel-2A,2023-04-23,7.4703,-2.7595,47.75,70.67,100.07,0.998,L1C,8522167,48.91
S2A_MSIL2A_0001_20230423,Sentinel-2A,2023-04-23,7.0991,0.6152,46.4,45.65,113.28,0.766,L2A,11540931,51.62
S2A_MSIL2A_0002_20230423,Sentinel-2A,2023-04-23,6.8,-1.2147,37.89,49.58,106.19,0.871,L2A,10517247,63.11
S2A_MSIL2A_0003_20230423,Sentinel-2A,2023-04-23,9.6713,-2.9236,52.38,74.37,183.1,0.853,L1C,9533669,47.33
S2A_MSIL2A_0004_20230423,Sentinel-2A,2023-04-23,8.3487,0.7773,31.88,67.7,130.55,0.803,L1C,10801287,63.43
S2A_MSIL2A_0005_20230423,Sentinel-2A,2023-04-23,6.8677,-0.8292,46.97,60.69,173.13,0.943,L2A,10239547,54.01
LC08_L2SP_155055_20230509,Landsat-8,2023-05-09,6.2517,0.0965,81.48,67.41,192.23,0.91,L2A,10554929,17.54
LC08_L2SP_156055_20230509,Landsat-8,2023-05-09,7.7001,-0.1293,37.52,49.31,103.55,0.901,L1C,9532324,60.15
LC08_L2SP_157055_20230509,Landsat-8,2023-05-09,9.8585,-0.8692,53.18,63.9,105.71,0.997,L2A,9180141,46.41
LC08_L2SP_158055_20230509,Landsat-8,2023-05-09,7.951,-2.735,38.7,54.27,181.47,0.96,L1C,10931567,57.04
LC08_L2SP_159055_20230509,Landsat-8,2023-05-09,7.0203,-1.0237,56.29,64.74,120.97,0.798,L1C,10088818,42.05
LC08_L2SP_160055_20230509,Landsat-8,2023-05-09,8.6634,0.1918,84.63,59.85,111.24,0.917,L1C,10072678,16.17
S2A_MSIL2A_0000_20230509,Sentinel-2A,2023-05-09,7.4703,-2.7595,86.54,68.88,170.02,0.942,L2A,9590130,14.85
S2A_MSIL2A_0001_20230509,Sentinel-2A,2023-05-09,7.0991,0.6152,21.06,65.44,178.43,0.814,L1C,10546531,78.93
S2A_MSIL2A_0002_20230509,Sentinel-2A,2023-05-09,6.8,-1.2147,57.9,46.34,139.13,0.871,L1C,9222309,40.67
S2A_MSIL2A_0003_20230509,Sentinel-2A,2023-05-09,9.6713,-2.9236,67.35,72.35,156.96,0.765,L1C,10307804,31.73
S2A_MSIL2A_0004_20230509,Sentinel-2A,2023-05-09,8.3487,0.7773,68.14,59.75,187.55,0.795,L2A,9028444,32.63
S2A_MSIL2A_0005_20230509,Sentinel-2A,2023-05-09,6.8677,-0.8292,25.36,52.07,188.21,0.715,L2A,10029717,78.71
LC08_L2SP_155055_20230525,Landsat-8,2023-05-25,6.2517,0.0965,17.61,50.64,162.28,0.902,L1C,10868518,78.82
LC08_L2SP_156055_20230525,Landsat-8,2023-05-25,7.7001,-0.1293,38.03,60.26,163.12,0.784,L2A,10800554,62.43
LC08_L2SP_157055_20230525,Landsat-8,2023-05-25,9.8585,-0.8692,51.29,46.37,161.85,0.98,L2A,10511698,49.95
LC08_L2SP_158055_20230525,Landsat-8,2023-05-25,7.951,-2.735,1.78,62.32,183.48,0.718,L2A,10528608,97.24
LC08_L2SP_159055_20230525,Landsat-8,2023-05-25,7.0203,-1.0237,66.18,65.73,112.79,0.716,L1C,9236171,35.16
LC08_L2SP_160055_20230525,Landsat-8,2023-05-25,8.6634,0.1918,37.2,57.02,180.17,0.952,L2A,9835411,64.24
S2A_MSIL2A_0000_20230525,Sentinel-2A,2023-05-25,7.4703,-2.7595,47.24,65.17,123.72,0.818,L2A,9644122,53.65
S2A_MSIL2A_0001_20230525,Sentinel-2A,2023-05-25,7.0991,0.6152,72.45,55.2,168.42,0.786,L1C,10288392,27.89
S2A_MSIL2A_0002_20230525,Sentinel-2A,2023-05-25,6.8,-1.2147,45.69,59.38,198.39,0.818,L1C,10780510,55.46
S2A_MSIL2A_0003_20230525,Sentinel-2A,2023-05-25,9.6713,-2.9236,67.29,58.48,160.48,0.714,L2A,8921466,33.48
S2A_MSIL2A_0004_20230525,Sentinel-2A,2023-05-25,8.3487,0.7773,45.44,69.16,145.91,0.861,L1C,10603235,53.32
S2A_MSIL2A_0005_20230525,Sentinel-2A,2023-05-25,6.8677,-0.8292,38.25,72.73,158.17,0.894,L2A,11840375,60.0
LC08_L2SP_155055_20230610,Landsat-8,2023-06-10,6.2517,0.0965,41.14,62.08,114.19,0.883,L2A,10805026,55.88
LC08_L2SP_156055_20230610,Landsat-8,2023-06-10,7.7001,-0.1293,67.12,61.76,130.66,0.955,L1C,10505629,33.24
LC08_L2SP_157055_20230610,Landsat-8,2023-06-10,9.8585,-0.8692,52.04,59.7,180.94,0.732,L1C,9546814,50.24
LC08_L2SP_158055_20230610,Landsat-8,2023-06-10,7.951,-2.735,38.77,72.53,186.56,0.869,L1C,10690123,66.0
LC08_L2SP_159055_20230610,Landsat-8,2023-06-10,7.0203,-1.0237,52.74,52.07,154.57,0.741,L2A,11586967,45.41
LC08_L2SP_160055_20230610,Landsat-8,2023-06-10,8.6634,0.1918,98.24,68.5,105.94,0.948,L1C,10699112,0.1
S2A_MSIL2A_0000_20230610,Sentinel-2A,2023-06-10,7.4703,-2.7595,65.64,58.16,182.28,0.864,L1C,8689906,35.5
S2A_MSIL2A_0001_20230610,Sentinel-2A,2023-06-10,7.0991,0.6152,79.07,71.84,195.43,0.997,L1C,9589545,18.17
S2A_MSIL2A_0002_20230610,Sentinel-2A,2023-06-10,6.8,-1.2147,50.48,51.75,193.71,0.835,L1C,11137160,52.52
S2A_MSIL2A_0003_20230610,Sentinel-2A,2023-06-10,9.6713,-2.9236,2.82,72.55,163.86,0.971,L1C,8643760,97.5
S2A_MSIL2A_0004_20230610,Sentinel-2A,2023-06-10,8.3487,0.7773,5.93,58.07,123.99,0.931,L2A,9702242,92.87
S2A_MSIL2A_0005_20230610,Sentinel-2A,2023-06-10,6.8677,-0.8292,27.6,59.54,110.17,0.797,L1C,10966591,75.05
LC08_L2SP_155055_20230626,Landsat-8,2023-06-26,6.2517,0.0965,9.61,64.68,153.14,0.76,L1C,10214286,89.16
LC08_L2SP_156055_20230626,Landsat-8,2023-06-26,7.7001,-0.1293,21.61,56.69,104.84,0.736,L2A,11579265,78.11
LC08_L2SP_157055_20230626,Landsat-8,2023-06-26,9.8585,-0.8692,64.17,56.21,109.21,0.788,L1C,9058941,37.55
LC08_L2SP_158055_20230626,Landsat-8,2023-06-26,7.951,-2.735,27.69,68.18,102.96,0.863,L2A,8816056,73.98
LC08_L2SP_159055_20230626,Landsat-8,2023-06-26,7.0203,-1.0237,87.17,53.48,134.53,0.968,L1C,11901575,12.72
LC08_L2SP_160055_20230626,Landsat-8,2023-06-26,8.6634,0.1918,20.59,61.45,108.0,0.911,L2A,9402252,77.63
S2A_MSIL2A_0000_20230626,Sentinel-2A,2023-06-26,7.4703,-2.7595,57.98,45.39,188.62,0.879,L1C,8079571,41.29
S2A_MSIL2A_0001_20230626,Sentinel-2A,2023-06-26,7.0991,0.6152,42.07,74.82,182.04,0.889,L1C,9598662,57.2
S2A_MSIL2A_0002_20230626,Sentinel-2A,2023-06-26,6.8,-1.2147,55.16,73.65,126.59,0.937,L1C,8506603,42.75
S2A_MSIL2A_0003_20230626,Sentinel-2A,2023-06-26,9.6713,-2.9236,47.78,46.91,121.3,0.943,L1C,8469663,54.9
S2A_MSIL2A_0004_20230626,Sentinel-2A,2023-06-26,8.3487,0.7773,57.0,73.5,186.06,0.797,L2A,8561809,39.66
S2A_MSIL2A_0005_20230626,Sentinel-2A,2023-06-26,6.8677,-0.8292,65.96,74.27,156.33,0.782,L1C,9259209,35.95
LC08_L2SP_155055_20230712,Landsat-8,2023-07-12,6.2517,0.0965,71.6,48.86,117.2,0.931,L1C,9222988,28.86
LC08_L2SP_156055_20230712,Landsat-8,2023-07-12,7.7001,-0.1293,58.34,49.99,104.03,0.792,L1C,8603501,43.26
LC08_L2SP_157055_20230712,Landsat-8,2023-07-12,9.8585,-0.8692,44.38,61.39,119.33,0.744,L1C,10108395,53.79
LC08_L2SP_158055_20230712,Landsat-8,2023-07-12,7.951,-2.735,72.7,57.91,152.54,0.981,L1C,8272249,25.47
LC08_L2SP_159055_20230712,Landsat-8,2023-07-12,7.0203,-1.0237,75.83,56.13,107.95,0.786,L2A,8343372,23.78
LC08_L2SP_160055_20230712,Landsat-8,2023-07-12,8.6634,0.1918,87.87,74.16,127.18,0.929,L1C,8612895,13.44
S2A_MSIL2A_0000_20230712,Sentinel-2A,2023-07-12,7.4703,-2.7595,32.29,62.19,166.11,0.867,L1C,9784432,67.82
S2A_MSIL2A_0001_20230712,Sentinel-2A,2023-07-12,7.0991,0.6152,88.97,48.98,158.47,0.979,L1C,9688878,10.73
S2A_MSIL2A_0002_20230712,Sentinel-2A,2023-07-12,6.8,-1.2147,100.0,70.68,120.94,0.962,L1C,10396157,1.37
S2A_MSIL2A_0003_20230712,Sentinel-2A,2023-07-12,9.6713,-2.9236,88.04,74.74,190.29,0.814,L2A,11895513,14.98
S2A_MSIL2A_0004_20230712,Sentinel-2A,2023-07-12,8.3487,0.7773,100.0,45.2,118.75,0.726,L2A,9543093,-0.8
S2A_MSIL2A_0005_20230712,Sentinel-2A,2023-07-12,6.8677,-0.8292,84.28,51.13,192.35,0.832,L2A,10605399,14.69
LC08_L2SP_155055_20230728,Landsat-8,2023-07-28,6.2517,0.0965,66.24,45.18,165.02,0.926,L2A,9025712,36.16
LC08_L2SP_156055_20230728,Landsat-8,2023-07-28,7.7001,-0.1293,95.55,62.2,167.21,0.977,L2A,8498599,8.09
LC08_L2SP_157055_20230728,Landsat-8,2023-07-28,9.8585,-0.8692,89.75,51.47,105.21,0.814,L2A,9384635,8.63
LC08_L2SP_158055_20230728,Landsat-8,2023-07-28,7.951,-2.735,47.73,58.54,174.43,0.97,L1C,8993578,52.35
LC08_L2SP_159055_20230728,Landsat-8,2023-07-28,7.0203,-1.0237,64.09,67.74,176.82,0.788,L2A,9293561,35.64
LC08_L2SP_160055_20230728,Landsat-8,2023-07-28,8.6634,0.1918,74.88,64.61,195.57,0.979,L1C,11654574,26.41
S2A_MSIL2A_0000_20230728,Sentinel-2A,2023-07-28,7.4703,-2.7595,52.21,45.7,141.75,0.753,L1C,10132757,43.93
S2A_MSIL2A_0001_20230728,Sentinel-2A,2023-07-28,7.0991,0.6152,52.56,47.27,144.76,0.792,L1C,8826477,46.49
S2A_MSIL2A_0002_20230728,Sentinel-2A,2023-07-28,6.8,-1.2147,60.33,65.67,193.5,0.943,L2A,8588306,39.74
S2A_MSIL2A_0003_20230728,Sentinel-2A,2023-07-28,9.6713,-2.9236,85.88,64.41,155.86,0.867,L2A,9155954,14.62
S2A_MSIL2A_0004_20230728,Sentinel-2A,2023-07-28,8.3487,0.7773,76.84,46.26,166.32,0.911,L1C,8322478,26.0
S2A_MSIL2A_0005_20230728,Sentinel-2A,2023-07-28,6.8677,-0.8292,80.81,53.84,184.39,0.78,L1C,9071279,14.93
LC08_L2SP_155055_20230813,Landsat-8,2023-08-13,6.2517,0.0965,100.0,68.94,131.66,0.711,L2A,9529367,-1.08
LC08_L2SP_156055_20230813,Landsat-8,2023-08-13,7.7001,-0.1293,78.21,56.97,119.9,0.898,L1C,11024043,20.0
LC08_L2SP_157055_20230813,Landsat-8,2023-08-13,9.8585,-0.8692,84.01,70.72,122.6,0.9,L1C,11162776,19.83
LC08_L2SP_158055_20230813,Landsat-8,2023-08-13,7.951,-2.735,95.7,66.23,178.03,0.75,L1C,11438092,5.57
LC08_L2SP_159055_20230813,Landsat-8,2023-08-13,7.0203,-1.0237,60.77,51.58,102.44,0.75,L1C,9411947,39.32
LC08_L2SP_160055_20230813,Landsat-8,2023-08-13,8.6634,0.1918,52.79,73.15,119.02,0.706,L1C,10445625,48.6
S2A_MSIL2A_0000_20230813,Sentinel-2A,2023-08-13,7.4703,-2.7595,59.24,72.21,162.18,0.882,L2A,11794604,40.91
S2A_MSIL2A_0001_20230813,Sentinel-2A,2023-08-13,7.0991,0.6152,84.71,53.87,131.86,0.869,L2A,11938064,13.78
S2A_MSIL2A_0002_20230813,Sentinel-2A,2023-08-13,6.8,-1.2147,83.36,51.12,122.53,0.778,L1C,9424007,15.67
S2A_MSIL2A_0003_20230813,Sentinel-2A,2023-08-13,9.6713,-2.9236,95.84,71.04,108.66,0.822,L1C,8828996,5.41
S2A_MSIL2A_0004_20230813,Sentinel-2A,2023-08-13,8.3487,0.7773,88.22,45.65,195.57,0.713,L2A,10134275,10.02
S2A_MSIL2A_0005_20230813,Sentinel-2A,2023-08-13,6.8677,-0.8292,63.32,73.94,163.51,0.705,L1C,10169037,37.42
LC08_L2SP_155055_20230829,Landsat-8,2023-08-29,6.2517,0.0965,69.27,56.98,156.9,0.895,L2A,10088657,31.9
LC08_L2SP_156055_20230829,Landsat-8,2023-08-29,7.7001,-0.1293,80.73,54.75,134.45,0.823,L2A,8700702,18.68
LC08_L2SP_157055_20230829,Landsat-8,2023-08-29,9.8585,-0.8692,100.0,46.8,184.26,0.905,L2A,8287699,1.21
LC08_L2SP_158055_20230829,Landsat-8,2023-08-29,7.951,-2.735,74.48,70.54,161.78,0.9,L2A,11049491,25.65
LC08_L2SP_159055_20230829,Landsat-8,2023-08-29,7.0203,-1.0237,68.17,71.12,100.68,0.867,L2A,8658291,29.18
LC08_L2SP_160055_20230829,Landsat-8,2023-08-29,8.6634,0.1918,80.33,50.77,121.29,0.96,L1C,11888042,18.77
S2A_MSIL2A_0000_20230829,Sentinel-2A,2023-08-29,7.4703,-2.7595,79.33,51.98,127.56,0.902,L2A,10283055,19.55
S2A_MSIL2A_0001_20230829,Sentinel-2A,2023-08-29,7.0991,0.6152,79.02,47.92,166.65,0.845,L1C,10778016,22.06
S2A_MSIL2A_0002_20230829,Sentinel-2A,2023-08-29,6.8,-1.2147,68.93,48.81,196.0,0.828,L2A,11601264,32.12
S2A_MSIL2A_0003_20230829,Sentinel-2A,2023-08-29,9.6713,-2.9236,100.0,67.12,108.11,0.838,L2A,10037321,-1.16
S2A_MSIL2A_0004_20230829,Sentinel-2A,2023-08-29,8.3487,0.7773,76.52,56.78,102.56,0.91,L2A,11423647,25.8
S2A_MSIL2A_0005_20230829,Sentinel-2A,2023-08-29,6.8677,-0.8292,72.06,74.66,189.91,0.979,L2A,8186504,26.72
LC08_L2SP_155055_20230914,Landsat-8,2023-09-14,6.2517,0.0965,69.99,71.54,142.81,0.867,L1C,9560276,27.05
LC08_L2SP_156055_20230914,Landsat-8,2023-09-14,7.7001,-0.1293,44.62,46.97,171.36,0.883,L2A,8222715,52.94
LC08_L2SP_157055_20230914,Landsat-8,2023-09-14,9.8585,-0.8692,78.36,63.25,103.73,0.951,L1C,10171806,20.05
LC08_L2SP_158055_20230914,Landsat-8,2023-09-14,7.951,-2.735,62.56,71.61,155.15,0.787,L1C,9990596,38.65
